source,target,count,src_type1,tgt_type1,src_type2,tgt_type2,index
172.16.1.6,172.16.2.2,41,private,private,IT/OT,IT,1
172.16.1.4,172.16.2.2,25,private,private,IT,IT,1
172.16.1.6,172.16.2.3,23,private,private,IT/OT,IT,1
172.16.1.2,172.16.1.3,21,private,private,IT,IT,1
172.16.1.3,172.16.1.4,20,private,private,IT,IT,1
172.16.1.2,172.16.1.4,19,private,private,IT,IT,1
172.16.1.4,172.16.2.3,17,private,private,IT,IT,1
172.16.2.2,172.16.2.3,11,private,private,IT,IT,1
10.50.50.102,10.50.50.99,6,private,private,OT,OT,1
10.50.50.150,10.50.50.102,6,private,private,OT,OT,1
10.50.50.102,10.50.50.3,4,private,private,OT,OT,1
10.50.50.150,10.50.50.101,4,private,private,OT,OT,1
10.50.50.102,172.16.1.6,2,private,private,OT,IT/OT,1
10.50.50.150,172.16.1.6,1,private,private,OT,IT/OT,1